wort,artikel,beschreibung
Atmosphäre,die,Stimmung oder Wirkung eines Textes
Tonfall,der,Charakter oder Haltung in sprachlichem Ausdruck
Gestaltung,die,bewusste Formgebung eines Textes oder Werkes
Kreativität,die,Fähigkeit neue Ideen sprachlich auszudrücken
Fantasie,die,Vorstellungskraft beim Erzählen oder Schreiben
Vorbereitung,die,Maßnahmen zur Planung einer Aufgabe oder Prüfung
Organisation,die,geordnete Planung und Durchführung von Abläufen
Zeitmanagement,das,Einteilung und Planung von Arbeitszeit
Strategie,die,geplantes Vorgehen zur Zielerreichung
Methode,die,systematisches Verfahren zur Bearbeitung einer Aufgabe
Technik,die,praktisches Verfahren zur Umsetzung von Aufgaben
Kompetenz,die,Fähigkeit Wissen und Fertigkeiten anzuwenden
Kognition,die,geistige Verarbeitung von Informationen
Motivation,die,innere Antriebskraft für Handlungen
Konzentration,die,Fähigkeit Aufmerksamkeit auf eine Aufgabe zu richten
Ergebnis,das,Resultat einer Arbeit oder Prüfung
Erfolg,der,positives Abschneiden bei einer Aufgabe
Ziel,das,angestrebtes Ergebnis einer Handlung
Fazit,das,abschließende Urteil oder Zusammenfassung
Bewusstsein,das,Erkenntnis und Wissen über etwas
Verantwortung,die,Pflicht für etwas einzustehen
Selbstständigkeit,die,Fähigkeit Aufgaben eigenständig zu erledigen
Teamarbeit,die,gemeinsames Arbeiten in einer Gruppe
Rückmeldung,die,Feedback oder Reaktion auf eine Leistung
Feedback,das,Rückmeldung zu einer Leistung oder Arbeit
Prüfungsvorbereitung,die,gezielte Vorbereitung auf eine Prüfung
